tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-latest-date-born,animal-life-stage,animal-mortality-type,animal-nickname,animal-ring-id,animal-sex,animal-siblings,attachment-body-part,attachment-type,deploy-on-person,deployment-comments,deployment-id,manipulation-type,tag-manufacturer-name,tag-model,tag-production-date,tag-readout-method,tag-serial-no
6073,Crane39_KN6073,Anthropoides virgo,2018-06-26 00:00:00.000,,In the family with Crane40 and Crane84,,2018-05-10 00:00:00.000,juvenile,,Crane39,39 white,m,Crane40,leg,leg-band,,,Crane39_KN6073,none,University of Konstanz,GPS GSM solar,2018,phone-network,6073
6082,Crane36_KN6082,Anthropoides virgo,2018-06-26 00:00:00.000,,In the family with Crane38,,2018-05-10 00:00:00.000,juvenile,,Crane36,36 white,f,,leg,leg-band,,,Crane36_KN6082,none,University of Konstanz,GPS GSM solar,2018,phone-network,6082
6083,Crane38_KN6083,Anthropoides virgo,2018-06-26 00:00:00.000,,In the family with Crane36,,2018-05-10 00:00:00.000,juvenile,,Crane38,38 white,m,,leg,leg-band,,,Crane38_KN6083,none,University of Konstanz,GPS GSM solar,2018,phone-network,6083
6084,Crane40_KN6084,Anthropoides virgo,2018-06-26 00:00:00.000,,In the family with Crane39,"died at the staging area in Volgograd Region, Russia, in late September 2018 (from 28 August to 23 September signals from one point)",2018-05-10 00:00:00.000,juvenile,unknown,Crane40,40 white,f,Crane39,leg,leg-band,Elena Ilyashenko,,Crane40_KN6084,none,University of Konstanz,GPS GSM Solar,2018,phone-network,6084
6085,Crane41_KN6085,Anthropoides virgo,2018-06-26 00:00:00.000,,In the pair with one chick,,2018-05-10 00:00:00.000,juvenile,,Crane41,41 white,f,,leg,leg-band,,,Crane41_KN6085,none,University of Konstanz,GPS GSM solar,2015,phone-network,6085
6088,Crane44_KN6088,Anthropoides virgo,2018-06-27 00:00:00.000,,In family with Crane45,,2018-05-20 00:00:00.000,juvenile,,Crane44,44 white,m,,leg,leg-band,,,Crane44_KN6088,none,University of Konstanz,GPS GSM solar,,phone-network,6088
6089,Crane45_KN6089,Anthropoides virgo,2018-06-27 00:00:00.000,,In family with Crane44,,2018-05-20 00:00:00.000,juvenile,,Crane45,45 white,f,,leg,leg-band,,,Crane45_KN6089,none,University of Konstanz,GPS GSM solar,,phone-network,6089
6090,Crane46_KN6090,Anthropoides virgo,2018-06-27 00:00:00.000,,in family with Crane47,,2018-05-10 00:00:00.000,juvenile,,Crane46,46 white,f,,leg,leg-band,,,Crane46_KN6090,none,University of Konstanz,GPS GSM solar,,phone-network,6090
6091,Crane47_KN6091,Anthropoides virgo,2018-06-27 00:00:00.000,,in family with Crane46,,2018-05-10 00:00:00.000,juvenile,,Crane47,47 white,m,,leg,leg-band,,,Crane47_KN6091,none,University of Konstanz,GPS GSM solar,,phone-network,6091
6086,Crane42_KN6086,Anthropoides virgo,2018-06-27 00:00:00.000,,in the family with Crane43,,2018-05-10 00:00:00.000,juvenile,,Crane42,42 white,m,Crane43,leg,leg-band,,,Crane42_KN6086,none,University of Konstanz,GPS GSM solar,2018,phone-network,6086
6087,Crane43_KN6087,Anthropoides virgo,2018-06-27 00:00:00.000,,in the family with Crane42,,2018-05-10 00:00:00.000,juvenile,,Crane43,43 white,m,Crane42,leg,leg-band,,,Crane43_KN6087,none,University of Konstanz,GPS GSM solar,2018,phone-network,6087
6095,Crane49_KN6095,Anthropoides virgo,2018-06-29 00:00:00.000,,in family with Crane50,,2018-05-20 00:00:00.000,juvenile,,Crane49,49 white,u,,leg,leg-band,,,Crane49_KN6095,none,University of Konstanz,GPS GSM solar,,phone-network,6095
6097,Crane50_KN6097,Anthropoides virgo,2018-06-29 00:00:00.000,,in family with Crane49,,2018-05-10 00:00:00.000,juvenile,,Crane50,50 white,u,,leg,leg-band,,,Crane50_KN6097,none,University of Konstanz,GPS GSM solar,,phone-network,6097
6100,Crane53_KN6100,Anthropoides virgo,2018-06-29 00:00:00.000,,in the family with Crane54,,2018-05-10 00:00:00.000,juvenile,,Crane53,53 white,u,Crane54,leg,leg-band,,,Crane53_KN6100,none,University of Konstanz,GPS GSM solar,2018,phone-network,6100
6101,Crane54_KN6101,Anthropoides virgo,2018-06-29 00:00:00.000,,in family with Crane53,,2018-05-10 00:00:00.000,juvenile,,Crane54,54 white,u,Crane53,leg,leg-band,,,Crane54_KN6101,none,University of Konstanz,GPS GSM solar,2018,phone-network,6101
6092,Crane48_KN6092,Anthropoides virgo,2018-06-30 00:00:00.000,,in the family with one chick,,2018-05-01 00:00:00.000,juvenile,,Crane48,48 white,u,,leg,leg-band,,,Crane48_KN6092,none,University of Konstanz,GPS GSM solar,,phone-network,6092
6102,Crane55_KN6102,Anthropoides virgo,2018-06-30 00:00:00.000,,in family with Crane56,,2018-05-01 00:00:00.000,juvenile,,Crane55,55 white,u,Crane56,leg,leg-band,,,Crane55_KN6102,none,University of Konstanz,GPS GSM solar,2018,phone-network,6102
6103,Crane56_KN6103,Anthropoides virgo,2018-06-30 00:00:00.000,,in family with Crane55,,2018-05-01 00:00:00.000,juvenile,,Crane56,56 white,u,Crane55,leg,leg-band,,,Crane56_KN6103,none,University of Konstanz,GPS GSM solar,,phone-network,6103
6105,Crane57_KN6105,Anthropoides virgo,2018-07-01 00:00:00.000,,in family with Crane58,,2018-05-10 00:00:00.000,juvenile,,Crane57,57 white,u,Crane58,leg,leg-band,,,Crane57_KN6105,none,University of Konstanz,GPS-GSM logger,,phone-network,6105
6106,Crane58_KN6106,Anthropoides virgo,2018-07-01 00:00:00.000,,in family with Crane57,,2018-05-10 00:00:00.000,juvenile,,Crane58,58 white,u,Crane57,leg,leg-band,,,Crane58_KN6106,none,University of Konstanz,GPS-GSM solar,2018,phone-network,6106
